circuitId,image_url
1,https://upload.wikimedia.org/wikipedia/commons/0/0a/Albert_Park_Circuit_2021.svg
2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/250px-Sepang.svg.png
3,https://upload.wikimedia.org/wikipedia/commons/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg
4,https://upload.wikimedia.org/wikipedia/commons/8/87/Circuit_de_Catalunya_moto_2021.svg
5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/250px-Istanbul_park.svg.png
6,https://upload.wikimedia.org/wikipedia/commons/3/36/Monte_Carlo_Formula_1_track_map.svg
7,https://upload.wikimedia.org/wikipedia/commons/f/f9/%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg
8,https://upload.wikimedia.org/wikipedia/commons/8/87/Circuit_de_Nevers_Magny-Cours.svg
9,https://upload.wikimedia.org/wikipedia/commons/b/bd/Silverstone_Circuit_2020.png
10,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hockenheim2012.svg/250px-Hockenheim2012.svg.png
11,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/330px-Hungaroring.svg.png
12,https://upload.wikimedia.org/wikipedia/commons/f/fd/Circuit_Valencia_street.svg
13,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Spa-Francorchamps_of_Belgium.svg/330px-Spa-Francorchamps_of_Belgium.svg.png
14,https://upload.wikimedia.org/wikipedia/commons/f/f8/Monza_track_map.svg
15,https://upload.wikimedia.org/wikipedia/commons/8/8b/Marina_Bay_circuit_2023.svg
16,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fuji.svg/330px-Fuji.svg.png
17,https://upload.wikimedia.org/wikipedia/commons/1/14/Shanghai_International_Racing_Circuit_track_map.svg
18,https://upload.wikimedia.org/wikipedia/commons/8/8d/Indianapolis_Motor_Speedway_Grand_Prix_Road_Course_2024.svg
19,https://upload.wikimedia.org/wikipedia/commons/3/3f/USA_Indiana_location_map.svg
20,https://upload.wikimedia.org/wikipedia/commons/2/20/Circuit_N%C3%BCrburgring-2002-vs-1927.svg
21,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Imola_2009.svg/330px-Imola_2009.svg.png
22,https://upload.wikimedia.org/wikipedia/commons/e/ec/Suzuka_circuit_map--2005.svg
80,https://upload.wikimedia.org/wikipedia/commons/4/43/2023_Las_Vegas_street_circuit.svg
24,https://upload.wikimedia.org/wikipedia/commons/b/b0/Yas_Marina_Circuit.png
25,https://upload.wikimedia.org/wikipedia/commons/c/c6/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg
26,https://upload.wikimedia.org/wikipedia/commons/a/aa/Circuito_de_Jerez_v2.svg
27,https://upload.wikimedia.org/wikipedia/commons/3/39/Estoril_track_map.svg
28,https://upload.wikimedia.org/wikipedia/commons/b/b4/Circuit_TI_%28Aida%29.png
29,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Adelaide_%28short_route%29.svg/250px-Adelaide_%28short_route%29.svg.png
30,https://upload.wikimedia.org/wikipedia/commons/9/92/Kyalami_16.png
31,https://upload.wikimedia.org/wikipedia/commons/0/07/Donington_circuit.svg
32,https://upload.wikimedia.org/wikipedia/commons/c/c6/Autodromo_Hermanos_Rodriguez_%28Formula_E_Layout_2023%29.png
33,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Phoenix_Grand_Prix_Route_-_1989%2C_1990.svg/250px-Phoenix_Grand_Prix_Route_-_1989%2C_1990.svg.png
34,https://upload.wikimedia.org/wikipedia/commons/3/3c/Le_Castellet_2019_all_layouts.svg
35,https://upload.wikimedia.org/wikipedia/commons/2/29/Korea_international_circuit_v3.svg
36,https://upload.wikimedia.org/wikipedia/commons/f/f6/Jacarepagu%C3%A1-short_circuit.png
37,https://upload.wikimedia.org/wikipedia/commons/d/df/TrackMap_Detroit-2023.png
38,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brands_Hatch_2003.svg/250px-Brands_Hatch_2003.svg.png
39,https://upload.wikimedia.org/wikipedia/commons/7/78/Zandvoort_Circuit.png
40,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Zolder.svg/250px-Zolder.svg.png
41,https://upload.wikimedia.org/wikipedia/commons/d/de/Dijon-Prenois_Circuit.svg
42,https://upload.wikimedia.org/wikipedia/commons/4/47/Circuit_Fair_Park_Dallas.svg
43,https://upload.wikimedia.org/wikipedia/commons/7/72/Long_Beach_Street_Circuit_IndyCar.svg
44,https://upload.wikimedia.org/wikipedia/commons/4/43/2023_Las_Vegas_street_circuit.svg
45,https://upload.wikimedia.org/wikipedia/commons/5/5c/Circuito_Permanente_del_Jarama.svg
46,https://upload.wikimedia.org/wikipedia/commons/6/6a/Watkins_Glen_International_Long_Circuit_2024.svg
47,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Scandinavian_Raceway.svg/330px-Scandinavian_Raceway.svg.png
48,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mosport-CTMP.svg/250px-Mosport-CTMP.svg.png
49,https://upload.wikimedia.org/wikipedia/commons/b/b7/Montju%C3%AFc_circuit.svg
50,https://upload.wikimedia.org/wikipedia/commons/0/0f/Circuit_Nivelles-Baulers.png
51,https://upload.wikimedia.org/wikipedia/commons/3/3f/Circuit_Charade_1989.png
52,https://upload.wikimedia.org/wikipedia/commons/8/8d/Circuit_Mont-Tremblant_Track_Map.svg
53,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Rouen-Les-Essarts.svg/330px-Rouen-Les-Essarts.svg.png
54,https://upload.wikimedia.org/wikipedia/commons/3/35/Circuit_de_la_Sarthe_v2.png
55,https://upload.wikimedia.org/wikipedia/commons/f/fa/Circuit-Reims-1954.png
56,https://upload.wikimedia.org/wikipedia/commons/2/2d/Prince_George_Circuit.svg
57,https://upload.wikimedia.org/wikipedia/commons/a/a4/Circuit_Zeltweg.png
58,https://upload.wikimedia.org/wikipedia/commons/3/35/Circuit_Aintree.svg
59,https://upload.wikimedia.org/wikipedia/commons/a/a2/Circuit_Boavista.png
60,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Riverside_International_Raceway_1980_and_1967.svg/330px-Riverside_International_Raceway_1980_and_1967.svg.png
61,https://upload.wikimedia.org/wikipedia/commons/6/6d/Circuit_AVUS.svg
62,https://upload.wikimedia.org/wikipedia/commons/d/de/Circuit_Monsanto.png
63,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sebring_International_Raceway.svg/330px-Sebring_International_Raceway.svg.png
64,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ain-Diab.svg/250px-Ain-Diab.svg.png
65,https://upload.wikimedia.org/wikipedia/commons/d/d9/Circuito_di_Pescara.png
66,https://upload.wikimedia.org/wikipedia/commons/e/e7/Circuit_Bremgarten.svg
67,https://upload.wikimedia.org/wikipedia/commons/5/59/Circuit_Pedralbes.png
68,https://upload.wikimedia.org/wikipedia/commons/2/26/Buddh_Circuit_1.svg
69,https://upload.wikimedia.org/wikipedia/commons/a/a5/Austin_circuit.svg
